"","text"
"4372","@PabiMoloi Great job last nite power team.#SONA2019"
"4373","I don't know if we as the ordinary peoples on the street are supposed to celebrate that Gas/fuel has been discovered in the Coast... How is it or will it benefit Us? That shit will still be Expensive as hell!! Eg: we have Sasol, have You ever got fuel on Discount?? #SONA2019"
"4374","#Numsa #Eskom #SONA2019 hmmm https://t.co/EpPQsbrii6"
"4375","One of the biggest Loses...I personally think we are losing is #FreeEducation #FeesMustFall should have made it way today #SONA2019 it has become Volatile, eg: #DUTShooting we can't have Young people fighting for access 2 Education, leave Home only 2 Die! When do we Learn???"
"4376","@ParliamentofRSA #SONA2019 https://t.co/0KOnwgN0Yr"
"4377","#FreeEducation #FeesMustFall #UJ #DUTShooting #SONA2019 what a Miss.... https://t.co/USeeBETKIB"
"4378","#SONA2019 ""Politicians must be brought to book.. "".
So, Sona on people's minds was really about 'Accountability' this time around. #"
"4379","When people are surprised by EFF Officials violence. Buffling! 

Why are you surprised? #SONA2019 

Even EFF supporters appreciate a little mpana now and again. Get with the program- EFF e chesa mpama. https://t.co/WUtnijfiIE"
"4380","EFF are thugs who just want access to the public purse. #SONA2019 

ANC are just old greedy men btw, with same greedy offsprings. #BOSASAaudi ya #NomvulaMokonyane"
"4381","Beautiful on the inside nana. <U+2764><U+FE0F><U+0001F44D><U+0001F3FF> #SONA2019 https://t.co/hzCwMpWWEv"
"4382","@FabAcademic I guess u were the most beautiful dressed woman. #SONA2019"
"4383","@JJ_Stellies It looks like it's a fashion show. #SONA2019"
"4384","I feel so emotional, all the damn of tears confusion. 
Gay/Girl what's your ambition, 
Attract some attention, 
Don't fear no rejection, 
Just get on a mission
Believe in your actions, 
Instead of opinions.

#DQFab
#BAKAE 
#SONA2019 
#FetchYourLife"
"4385","A Whole 9 years of 9 point plans.
But it was all along as simple as this Sona.

The @Our_DA
Will come out and complain that isn't enough.
@EFFSouthAfrica
Will say everything Cyril Ramaphosa said was their ideas, even if they said.
But just because they heard it.

#SONA2019"
"4386","It's very worrying for a me as a South African.

For the @Our_DA to go to these lengths, to discredit the @MYANC.

It is not far off what happened when their OWNERS BANNED THE ANC.

#SONA2019"
"4387","It's official the 2019 election will be held on my Birthday 8 May.

Another Reason. To Celebrate.

#SONA2019"
"4388","Thugs. Not Leaders.
Please Open a case, we got the Video Footage Right here.

How is it?????

@ParliamentofRSA
@EFFSouthAfrica #SONA2019 @SAPoliceService https://t.co/HBlT9gFLi1"
"4389","Ramapasho Success stories, Mr President we behind you.

#SONA2019 https://t.co/7JVJ6F5Snf"
"4390","Richard Calland says ""The speech offered a convincing, and authoritative, case for the Ramaphosa presidency. And on the fight against #corruption he spoke with passion as well as precision - 'watch this space', he said."" Do you agree with what the president has decided? #SONA2019 https://t.co/LvtHYx1kps"
"4391","#SONA2019 #SONA they expected the EFF to disrupt the even and they were sad they didnt have it their way. They had to provoke them so to write ill news on them. Fighters the road is long and will be difficult. The fake news and Ramaphosa lovers like @maggsnaidu &amp; @eNCA are out."
"4392","#sona2019 Pres. Ramaphosa a leader, an agent for poor people and corruption fighter..he has shown his capabilities. Zondo Comm..and officials being arrested, give him a chance"
"4393","@RenaldoGouws #SONA2019 you guys are killing me. https://t.co/CThfHHq03Y"
"4394","@Thatomekwa18 Ayi! EFF is oppressive party....Fighters have no freedom chose from their wardrobes which clothes to wear.  #SONA2019"
"4395","@eNCA Lol! <U+0001F923><U+0001F923> and there is no courtesy nyana...I mean just to inform the fighters and ground forces that #SONA2019 will be disrupted? https://t.co/xZAgJYJaKn"
"4396","@Kutlwelo @ANCJHB @Baithamaki Lol! They were frustrated and angry that their plan to disrupt #SONA2019 failed."
"4397","@BalosangSanki What was the scuffles about? Angry that they failed to disrupt #SONA2019 ?"
"4398","Talking from President Cyril Ramaphosa #SONA2019 is the ""Scorpions"" are back. https://t.co/6DAar3utQD"
"4399","Lol! <U+0001F923><U+0001F923> Mafighters are the security police who was slapped at #SONA2019, is  in collaboration with right-wing groups to take the life of the Julius  Malema because EWC. https://t.co/AEtyL9Ez9q"
"4400","Remember this from 2017?
#SONA2019 https://t.co/r2WvwloaQD"
"4401","Vote for the party which your
ANCestors voted for. Don't vote for DAngerous parties because they have side EFFects and you won't COPE. your BLF (BELIEF) it's not worth it. #SONA2019"
"4402","#SONA2019: I did not watch the SONA. I was working. I hear the president plagiarised @EFFSouthAfrica manifesto. Is this true?"
"4403","#SONA2019 can they allow us as youth to be us and give us opportunities then lies this ain't good at all. Am tired of ppl think they clever because they are in power."
"4404","My comment seems to have been lost in the ether... to repeat myself, Meghan Markle has a lot to answer for with her #bumphuggingdresses #SONA2019 #fashion https://t.co/lGbI6eIwTx"
"4405","WATCH: #EFF boycott Die Stem during #Sona2019 https://t.co/iSTnxnGT2k"
"4406","Who’s that girl? DA MP’s #SONA2019 date gets tongues wagging https://t.co/tQMtism1ol"
"4407","South Africans complain this year’s #SONA2019 too ‘boring’ https://t.co/my3E3KPQmd"
"4408","ATM will be painting Vaal white....ATM will be in Sebokeng tomorrow....@VuyoZungulaSA @MzwaneleManyi #SONA2019 https://t.co/3vO0dg0Oe2"
"4409","EFF is no bringing harmony instead is increasing hatred...why do they have to seat down #SONA2019 when everyone is singing AFRIKAANS part, from the national anthem #Afrikaans. Humanity is the key..."
"4410","Ramaphosa: Our beautiful country, South Africa has one of the world’s longest coastlines spanning 3,000 km around the contours of our country from the east to the west. #SONA2019"
"4411","Ramaphosa: Realising the magnitude of the challenges in health care, we have established an NHI and quality improvement War Room in the Presidency ... #SONA2019"
"4412",".... consisting of various key departments to address the crisis in the public health system while preparing for the implementation of the NHI. #SONA2019"
"4413","Ramaphosa: The telecommunications sector represents vast potential for boosting economic growth. #SONA2019"
"4414","Ramaphosa: South Africa has one of the most comprehensive and far-reaching social security nets in the world, providing a buffer between poor households and abject poverty. Every month 17.5 million social grants are provided to South Africans.  #SONA2019"
"4415","Ramaphosa: We are making important progress in restoring the integrity and capacity of our strategic state owned enterprises. #SONA2019"
"4416","Ramaphosa: We call on all companies, both big and small, to participate in this initiative and thereby contribute not only to building their business but also to building the economy and fostering social cohesion. #SONA2019"
"4417","Ramaphosa: It is a South Africa whose people have vision, drive and ambition; making it a hub of innovation, entrepreneurship and enterprise. #SONA2019"
"4418","Ramaphosa: We conducted an audit last year and found that nearly 4,000 schools still have inappropriate sanitation facilities. #SONA2019"
"4419","Ramaphosa: We will be substantially expanding the availability of these early reading resources across the foundation phase of schooling. #SONA2019"
"4420","#SONA2019 Brener says they are sceptical about the accuracy of numbers of schools that still have inappropriate facilities because inappropriate could mean different things like poor maintenance or unsafe toilets. TMM"
"4421","Ramaphosa: We will also be looking at establishing special economic zones that are dedicated to producing specific types of products, such as clothing and textiles, for example. #SONA2019"
"4422","Ramaphosa: The Presidential Jobs Summit last year resulted in concrete agreements between organised labour, business, community and government. #SONA2019"
"4423","Ramaphosa: It is a South Africa whose leaders are bold and courageous, leaders who remain servants of the people – and for whom fulfilling their duty is the highest, and the only, reward. #SONA2019"
"4424","Ramaphosa: As we address the challenges that face Eskom we will ensure that there is meaningful consultation and dialogue with all key stakeholders. #SONA2019"
"4425","Ramaphosa: As government we continue to roll-out interventions to address social ills tearing our communities apart such as alcoholism and substance abuse. #SONA2019"
"4426","Ramaphosa: We will lead a process with labour, Eskom and other stakeholders to work out the details of a just transition, and proper, credible and sustainable plans that will address the needs of all those who may be affected. #SONA2019"
"4427","Ramaphosa: This we will do without burdening the fiscus with unmanageable debt. To ensure the credibility of the turnaround plan and avoid a similar financial crisis in a few years’ time, Eskom will need to develop a new business model. #SONA2019"
"4428","#SONA2019 Section 27 Education Attorney Samantha Brener says there are schools that have decent sanitation facilities however there are some with undemolished pit latrine toilets which poses a serious safety risk for learners. TMM"
"4429","Ramaphosa: We all have a role to play as individual South Africans, faith-based organisations, sports organisations, trade unions, business, students, academics and citizens #SONA2019"
"4430","Mabasa says he appreciates the President’s commitment towards building a dynamic and inclusive economy on which government can continue to drive SMME development across the country. UM
#SONA2019 
<U+0001F4F8>:@ParliamentofRSA"
"4431","Ramaphosa: I have engaged with the Independent Electoral Commission and also with the Premiers of all provinces, and intend to proclaim the 8th of May 2019 as the date of the election. #SONA2019"
"4432","#SONA2019 Some teachers' unions in Limpopo have welcomed remarks made by President Cyril Ramaphosa during his State of the Nation Address to digitise learning in schools and improve Early Childhood Development programmes. TMM"
"4433","#NUMSA is strongly rejecting President Ramaphosa’s announcement during #SONA2019 to break down #Eskom into three parts comprising Generation, Transmission and Distribution. MDM https://t.co/nqku2s2WsQ"
"4434","Ramaphosa: Above all, it is a South Africa of which we are all proud, of what we have achieved and of where we hope to be.  The task before us is formidable. #SONA2019"
"4435","Ramaphosa: Our greatest challenge is to create jobs for the unemployed of today, while preparing workers for the jobs of tomorrow. #SONA2019"
"4436","Spokesperson of the Chamber Basil Mabasa says it is worth noting that the cost of doing business is very high in our country and the time has come for government to ease the regulatory burden on SMMEs to do business. UM
#SONA2019 

<U+0001F4F8>:@ParliamentofRSA"
"4437","Ramaphosa: Government will support Eskom’s balance sheet, and the Minister of Finance will provide further details on this in the Budget Speech. #SONA2019"
"4438","Ramaphosa: In line with our Framework for Skills for a Changing World, we are expanding the training of both educators and learners to respond to emerging technologies including the internet of things, robotics and artificial intelligence. #SONA2019"
"4439","Ramaphosa: These enable us to absorb more youth – especially those exiting schools and colleges, and those not in any education, training or employment – into productive economic activity and further work opportunities. #SONA2019"
"4440","Ramaphos: Knowing as we do that there are strong linkages between substance abuse, drug trafficking, crime and insecurity in communities ... #SONA2019"
"4441","Ramaphosa: They should not face barriers and hindrances as they seek to find work. We are focusing our attention, our policies and our programmes on the key parts of the economy that are labour intensive. #SONA2019"
"4442","Ramaphosa: As we address the challenges that face Eskom, we also need to safeguard our national fiscal framework, achieve a positive impact on our sovereign credit rating, and pay attention to the rights and obligations of Eskom’s funders. #SONA2019"
"4443","Ramaphosa: In the past year we had 10 million tourists who came to our country. #SONA2019"
"4444","#SONA2019 Precillar Moyo from Equal Education Law Centre says they commend efforts made by government to prioritise sanitation in schools however there are a number of schools that still use pit latrines and unsafe ablution facilities. TMM"
"4445","Ramaphosa: The action we take now to end corruption and hold those responsible to account will determine the pace and trajectory of the radical social and economic transformation we seek. #SONA2019"
"4446","#SONA2019: Insiders in the National Prosecuting Authority are hinting that the new division announced by President Cyril Ramaphosa will take the form similar to the now disbanded Scorpions unit. MDM"
"4447","#SONA2019: President Cyril Ramaphosa says he has agreed with the new NDPP, that there is an urgent need to establish in the office of the NDPP, an investigating directorate dealing with serious corruption and associated offences. MDM

<U+0001F4F8>@PresidencyZA https://t.co/clzy6aDO3H"
"4448","Ramaphosa: As part of our ongoing work to remove constraints to greater investment, we have established a team from the Presidency, Invest SA, National Treasury and the Department of Planning, Monitoring and Evaluation ... #SONA2019"
"4449","Ramaphosa: It is a South Africa that acknowledges the problems of the past, but looks firmly to the future. #SONA2019"
"4450","Ramaphosa: We will therefore be focusing greater attention on expanding exports. #SONA2019 MAM"
"4451","Ramaphosa: Alongside a focus on exports, we will pursue measures to increase local demand through, among other things, increasing the proportion of local goods and services procured both by government and the private sector. #SONA2019"
"4452","Ramaphos: We call on student representatives and university authorities to work together to find solutions to the challenges that students are facing. #SONA2019"
"4453","Ramaphosa: As government, we have decided that the requirement for work experience at entry-level in state institutions will be done away with.  Our young people need to be given a real head start in the world of work. #SONA2019"
"4454","Ramaphosa: It is imperative that all those who use electricity – over and above the free basic electricity provided – should pay for it. #SONA2019"
"4455","Ramaphosa: This is an important aspect of our work to improve the ease of doing business in South Africa, which is essential to attracting investment. This team will report progress to Cabinet on a monthly basis. #SONA2019 MAM"
"4456","Ramaphosa: Given the scale and urgency of the problem, we launched the SAFE Initiative in August last year, through which we mobilised all available resources ... #SONA2019"
"4457","Ramaphosa: Through this we will intensify the “buy South Africa” programme. #SONA2019"
"4458","Ramaphosa: Over the next six years, we will provide every school child in South Africa with digital workbooks and textbooks on a tablet device. #SONA2019"
"4459","Ramaphosa: We recognise, as do all South Africans, that our greatest efforts to end poverty, unemployment and inequality will achieve little unless we tackle state capture and corruption in all its manifestations and in all areas of public life. #SONA2019"
"4460","Ramaphosa: We have made progress in examining the size and structure of the state, and will complete this work by the end of this administration. #SONA2019"
"4461","Ramaphosa: Agricultural exports are an important source of revenue for our economy, and developing our agricultural sector is key to enhancing our food security and for attracting investment. #SONA2019"
"4462","Ramaphosa: Stabilising the business processes of the National Student Financial Aid Scheme will also be a priority in the coming year so that it is properly capacitated to carry out its critical role in supporting eligible students. #SONA2019"
"4463","Ramaphosa: We have come up with great plans, platforms and initiatives through which we continue to draw young people in far greater numbers into productive economic activity through initiatives like the Employment Tax Incentive. #SONA2019"
"4464","#SONA2019: Political analyst from the University of Venda Professor Rachidi Molapo says it is an encouraging sign that the Scorpions could be revived since the days of the ANC's Polokwane conference in 2007 where the Scorpions were dealt a harsh blow. MDM"
"4465","Ramaphosa: It is this optimism that will carry us forward as we face a brave new future. It is a South Africa in which every man, woman and child is provided with the opportunity and means to make a better life for themselves. #SONA2019"
"4466","Ramaphosa: We need to take steps to reduce municipal non-payment and confront the culture of non-payment that exists in some communities. #SONA2019"
"4467","Ramaphosa: In a few months time, South Africans will go to the polls for the sixth time in our democracy to vote for national and provincial governments. #SONA2019"
"4468","Ramaphosa: These agreements, which are now being implemented by social partners, aim to create 275,000 additional direct jobs every year. #SONA2019"
"4469","Ramaphosa: This, combined with enhanced destination marketing and measures to strengthen tourism safety, will create the conditions for the growth we envisage, and the jobs and opportunities that will follow. #SONA2019"
"4470","Ramaphosa: To expand participation in the technical streams, several ordinary public schools will be transformed into technical high schools. #SONA2019"
"4471","Ramaphosa: Another critical priority is to substantially improve reading comprehension in the first years of school. #SONA2019"
"4472","Ramaphosa: We will give effect to our commitment to build human settlements in well-located areas that bring together economic opportunities and all the services and amenities that people need. #SONA2019"
"4473","Ramaphosa: This is an outstanding example of collaboration between government and business to address with urgency a great need that impacts on the right of South Africa’s children to safety and dignity in educational facilities. #SONA2019"
"4474","Ramaphosa: We will focus on raising the sophistication of our exports. #SONA2019"
"4475","Ramaphosa: Building on the work we have done over the last year, we will focus on further strengthening the capacity of the state. #SONA2019"
"4476","Ramaphosa: Eskom has come up with the nine-point turnaround plan which we support and want to see implemented. #SONA2019"
"4477","Ramaphosa: While these Commissions will in time make findings and recommendations in line with their mandates, evidence of criminal activity that emerges must be evaluated by the criminal justice system. #SONA2019"
"4478","Ramaphosa: To stimulate growth in the economy, to build more businesses and employ more people, we need to find new and larger markets for our goods and services. #SONA2019"
"4479","Ramaphosa: As we grapple with the challenges of our recent past, and as we deepen our efforts to overcome the grave injustices of centuries, it is essential that we do so with our eyes firmly fixed on the future. #SONA2019"
"4480","Ramaphosa: At the centre of all our efforts to achieve higher and more equitable growth, to draw young people into employment and to prepare our country for the digital age, must be the prioritisation of education and the development of skills. #SONA2019"
"4481","Ramaphosa: We commend these commissions for the work they are doing, often under challenging circumstances, to uncover the truth. #SONA2019"
"4482","Ramaphosa concludes his #SONA2019 saying ""Let us continue to embrace the spirit of citizen activism in line with the injunction, Thuma Mina, in the onward march towards equality, freedom and prosperity for all"". MAM"
"4483","Ramaphosa: Above everything else, we must get our economy working again. I call upon every South African to make this cause your own. #SONA2019"
"4484","Ramaphosa: Of particular concern, is the tragic death of Mlungisi Madonsela, a student at the Durban University of Technology. #SONA2019"
"4485","Ramaphosa: Eskom is in crisis and the risks it poses to South Africa are great. It could severely damage our economic and social development ambitions. #SONA2019"
"4486","Ramaphosa: Increasing local demand, and reducing the consumption of imports, is important because it increases the opportunities for producers within South Africa to serve a growing market. #SONA2019"
"4487","... we are focusing on tackling this problem at its source through prevention programmes targeting vulnerable persons especially our youth.  #SONA2019"
"4488","Ramaphosa: We will start with those schools that have been historically most disadvantaged and are located in the poorest communities, including multigrade, multiphase, farm and rural schools. #SONA2019"
"4489","Ramaphosa: These commissions need to be able to do their work without any hindrance, and we call on all those people who are in a position to assist them in their investigations to make themselves available. #SONA2019"
"4490","#SONA2019 The Professional Educators Union spokesperson Klaas Motlhatlole says this will offer equal education and improved education to all learners. TMM"
"4491","... including pledges from business, strategic partners, and the building industry to replace all unsafe toilets in public schools. #SONA2019"
"4492","Ramaphosa: This is essential in equipping children to succeed in education, in work and in life – and it is possibly the single most important factor in overcoming poverty, unemployment and inequality. #SONA2019"
"4493","Ramaphosa: This year, we will migrate responsibility for ECD centres from Social Development to Basic Education, and proceed with the process towards two years of compulsory ECD for all children before they enter grade 1. #SONA2019"
"4494","Ramaphosa: Comprised of eminent persons drawn from different sectors of society, the Commission will serve as a national overarching advisory mechanism on digital transformation. #SONA2019"
"4495","Ramaphosa: This year, we will take a significant step towards universal access to quality health care for all South Africans. After extensive consultation, the NHI Bill will soon be ready for submission to Parliament. #SONA2019"
"4496","Ramaphosa: The revelations emerging from the Zondo Commission of Inquiry into state capture and other commissions are deeply disturbing, for they reveal a breadth and depth of criminal wrongdoing that challenges the very foundation of our democratic state. #SONA2019"
"4497","Ramaphosa: We are determined to eradicate unsafe and inappropriate sanitation facilities within the next three years. #SONA2019"
"4498","#SONA2019 The South African Democratic Teachers Union in Limpopo says the introduction of technological advancements in rural schools will bring efficiency and eliminate shortage of textbooks in schools. TMM"
"4499","Ramaphosa; The safety of our learners in school is critical for creating a healthy, learning environment. #SONA2019"
"4500","#SONA2019 President Cyril Ramaphosa during his State of the Nation Address indicated that there are nearly 4 000 public schools that still have inappropriate sanitation facilities saying 699 of these are currently. TMM"
"4501","... to facilitate focused investment plans of leading companies across 19 sectors of the economy, from mining to renewable energy, from manufacturing to agriculture. #SONA2019  MAM"
"4502","Ramaphosa: We invite all South Africans to make suggestions on how we can better configure government to serve the needs and the interests of the people. #SONA2019"
"4503","Ramaphosa: We wish to remind all eligible South Africans who have not yet registered as voters that they still have until the proclamation of the election date to register. #SONA2019"
"4504","Ramaphosa: In line with this plan, Eskom will need to take urgent steps to significantly reduce its costs. It will need more revenue through an affordable tariff increase. #SONA2019"
"4505","Ramaphosa: To improve the competitiveness of our exports, we will complete the studies that have begun on reducing the costs of electricity, trade, communications, transport and other costs. #SONA2019"
"4506","Ramaphosa: This incentive will be extended for another 10 years. #SONA2019 MAM"
"4507","Ramaphosa: In the longer term, we will work with the NPA and other agencies of law enforcement to develop a more enduring solution that will strengthen the capacity of the criminal justice system to deal with corruption. #SONA2019"
"4508","Ramaphosa: The potential of agriculture in South Africa for job creation and economic growth still remains largely underdeveloped. #SONA2019"
"4509","Ramaphosa: I applaud the members of the Constitutional Review Committee for remaining focused throughout this period and sifting through the submissions that were made by ordinary South Africans and their organisations. #SONA2019"
"4510","Ramaphosa: Already, 90% of textbooks in high enrollment subjects across all grades and all workbooks have been digitised. #SONA2019"
"4511","Ramaphosa: We have made significant progress in devising a Comprehensive Social Security strategy through NEDLAC. #SONA2019"
"4512","Ramaphosa: The scheme is being phased in over a five year period until all undergraduate students who qualify in terms of the criteria can benefit. #SONA2019"
"4513","Ramaphosa: In responding to this crisis, we are informed by the need to minimise any adverse economic cost to the consumer and taxpayer. #SONA2019"
"4514","Ramaphosa: To ensure that we effectively and with greater urgency harness technological change in pursuit of inclusive growth and social development, I have appointed a Presidential Commission on the 4th Industrial Revolution. #SONA2019"
"4515","Ramaphosa: We will deepen the partnership between government and business to realise this vision. Our highest priority this year will be on the introduction of a world class eVisa regime. #SONA2019"
"4516","Ramaphosa: Where there is a basis to prosecute, prosecutions must follow swiftly and stolen public funds must be recovered urgently. #SONA2019"
"4517","Ramaphosa: The Directorate will bring together a range of investigatory and prosecutorial capacity from within government and in the private sector under an investigating director reporting to the NDPP. #SONA2019"
"4518","Ramaphosa: With over 700,000 children accessing early childhood education in the last financial year, we have established a firm foundation for a comprehensive ECD programme that is an integral part of the education system. #SONA2019"
"4519","Ramaphosa: Our policy and legislative interventions will ensure that more land is made available for agriculture, industrial development and human settlements. #SONA2019"
"4520","Ramaphosa: Since we launched the initiative, 699 schools have been provided with safe and appropriate sanitation facilities and projects in a further 1,150 schools are either in planning, design or construction stages. #SONA2019"
"4521","Ramaphosa: It will identify and recommend policies, strategies and plans that will position South Africa as a global competitive player within the digital revolution space. #SONA2019"
"4522","Ramaphosa: I wish to commend the many South Africans who participated in the work of the Constitutional Review Committee in the dialogue that ensued through the length and the breadth of the country. #SONA2019"
"4523","Ramaphosa: The department’s early grade reading studies have demonstrated the impact that a dedicated package of reading resources, expert reading coaches and lesson plans can have on reading outcomes. #SONA2019"
"4524","Ramaphosa: The Department of Social Development is to be commended for having honoured Constitutional Court’s directive for phasing out the services of Cash Paymaster Services. #SONA2019"
"4525","Ramaphosa: By applying the principle of social solidarity and cross-subsidisation, we aim to reduce inequality in access to health care. #SONA2019"
"4526","Ramaphosa: We intend to raise this to 21 million by 2030, targeting, among others, the largest and fastest growing markets of India and China, as well as strong markets on our continent. #SONA2019"
"4527","Ramaphosa: We will support the work of the Constitutional Review Committee tasked with the review of Section 25 of the Constitution to unambiguously set out provisions for expropriation of land without compensation. #SONA2019"
"4528","Ramaphosa: In improving the capabilities of public servants, the National School of Government is introducing a suite of compulsory courses, covering areas like ethics and anti-corruption, senior management ... #SONA2019"
"4529","#SONA2019 Sadtu Provincial Secretary Sowell Tjebane says the introduction of two years in Early Childhood Development learning before schooling will also contribute positively to learning development of learners. TMM"
"4530","Ramaphosa: The reforms focus on achieving comprehensive social security and retirement reform that is affordable, sustainable and appropriate for all South Africans. #SONA2019"
"4531","Ramaphosa: We are urgently establishing an inter-governmental rapid response technical team, reinforced by specialist professionals, to intervene in areas which are experiencing severe water problems. #SONA2019"
"4532","... that will address the policy, legal, regulatory and administrative barriers that frustrate investors. #SONA2019"
"4533","Ramaphosa: However, if we are to effectively address the substantial housing backlog in our country, we need to develop different models of financing for human settlements. #SONA2019"
"4534","Ramaphosa: In one of these areas, Giyani, extensive work is underway to get water to the residents, in the immediate term through the repair of boreholes, and then through the rapid provision of proper infrastructure. #SONA2019"
"4535","Ramaphosa: Because when we succeed – and of this we are certain – it is the entire nation that will benefit. As government, as business, as labour and as citizens, let us unite to embrace tomorrow. #SONA2019"
"4536","Ramaphosa: Our mere positioning as a country means we can harness the potential of our oceans to grow the economy. #SONA2019"
"4537","Ramaphosa: Through an accelerated programme of land reform, we will work to expand our agricultural output and promote economic inclusion. #SONA2019"
"4538","Ramaphosa: The NHI will enable South Africans to receive free services at the point of care in public and private quality-accredited health facilities. #SONA2019"
"4539","Ramaphosa: In addition to direct jobs, this export industry could generate as many as 2 million more jobs in food and agriculture, construction, transport, retail, and the creative and cultural industries by 2030. #SONA2019"
"4540","#SONA2019 The unions say the move to digitise workbooks and textbooks will allow all learners the opportunity to receive equal education in the country. TMM https://t.co/u3A840ALEh"
"4541","Ramaphosa: The Minister of Communications will shortly be issuing policy direction to ICASA for the licensing of the high demand radio frequency spectrum. #SONA2019"
"4542","Ramaphosa: This provision will see the imposition of harsher penalties, including fines and/or prison sentences for officials that transgress. #SONA2019"
"4543","Ramaphosa: The Housing Development Agency will construct an additional 500,000 housing units in the next five years, and an amount of R30 billion will be provided to municipalities and provinces to enable them to fulfil their respective mandates. #SONA2019"
"4544","Ramaphosa: Progress is being made in the areas of installation, repair and maintenance jobs, digital and tech jobs like coding and data analytics, as well as global business services. #SONA2019"
"4545","Ramaphosa: Thanks to this initiative, links have been re-established with all institutions, and institution heads and student leaders have played a critical role in communicating with students. #SONA2019"
"4546","Ramaphosa: We extend our deepest condolences to his family and call on law enforcement agencies to thoroughly investigate the incident. #SONA2019"
"4547","Ramaphosa: South Africa still has large areas of under-utilised or unproductive land. There are around 250,000 small emerging farmers who are working the land and need support in fully developing their businesses. #SONA2019"
"4548","Ramaphosa: As a water scarce country, we are confronting water crises in many parts of the country. We are developing a comprehensive integrated nation plan that addresses water shortages, ageing infrastructure and poor project implementation. #SONA2019"
"4549","Ramaphosa: In line with Jobs Summit commitments, we will focus on the export of manufactured goods and trade in services such as business process outsourcing and the remote delivery of medical services. #SONA2019"
"4550","Ramaphosa: We recall with deep sadness the tragic deaths of Michael Komape, who drowned in a pit toilet at Mahlodumela Primary School in Limpopo in 2014, and Lumka Mkethwa, from Luna Junior Primary School in the Eastern Cape, who lost her life in March last year. #SONA2019"
"4551","Ramaphosa: Several new technology subjects and specialisations will be introduced, including technical mathematics and technical sciences, maritime sciences, aviation studies, mining sciences, and aquaponics. #SONA2019"
"4552","#SONA2019 The joint-sitting adjourns. MAM https://t.co/Rxr33H5uiO"
"4553","Ramaphosa: The agreement will see the creation of a market of over a billion people with a combined GDP of approximately $3.3 trillion. #SONA2019"
"4554","Ramaphosa: In line with government’s commitment to the right of access to higher education for the poor, last year we introduced free higher education for qualifying first year students. #SONA2019"
"4555","Ramaphosa: We are resolute that all taverns, shebeens and liquor outlets near school premises must be shut down. #SONA2019"
"4556","Ramaphosa: Ending gender-based violence is an urgent national priority that requires the mobilisation of all South Africans and the involvement of all institutions. #SONA2019"
"4557","Ramaphosa: We are concerned about developments on some campuses this week, especially reports of violence and intimidation. #SONA2019"
"4558","Ramaphosa: These industries expect to substantially expand investment over the next five years and create a vast number of new jobs, especially if we can enhance demand for local goods, further stabilise the labour environment and improve conditions for doing business. #SONA2019"
"4559","Ramaphosa: These include agriculture, tourism and the ocean economy. #SONA2019"
"4560","Ramaphosa: We need to take bold decisions and decisive action. The consequences may be painful, but they will be even more devastating if we delay. #SONA2019"
"4561","Ramaphosa: The Ethics, Integrity and Disciplinary Technical Assistance Unit will be established to to strengthen management of ethics and anti-corruption and ensure consequence management for breaches of government processes. #SONA2019"
"4562","Ramaphosa: South Africa has extremely high levels of substance abuse, which feeds crime and violence against women and children, it deepens poverty and causes great hardship and pain for families. #SONA2019"
"4563","Ramaphosa: We are fortunate to have an agricultural sector that is well-developed, resilient and diversified. We intend to use it as a solid foundation to help develop agriculture in our country for the benefit of all. #SONA2019"
"4564","Ramaphosa: Following our successful Investment Conference, a group of South African business leaders moved by the spirit of Thuma Mina initiated the Public-Private Growth Initiative ... #SONA2019"
"4565","Ramaphosa: Government will lead the campaign to include men and boys as active champions in the struggle against gender-based violence. #SONA2019"
"4566","Ramaphosa: In broad terms, the Directorate will focus on the evidence that has emerged from the Zondo Commission of Inquiry into State Capture, other commissions and disciplinary inquiries. #SONA2019"
"4567","Ramaphosa: To date the majority of grant beneficiaries have been successfully migrated to the South African Post Office, and the old SASSA cards replaced by new ones. #SONA2019"
"4568","... and supply chain management, and deployment of managers to the coal face to strengthen service delivery. #SONA2019"
"4569","Ramaphosa: To this end, we have agreed with the new NDPP that there is an urgent need to establish in the office of the NDPP an investigating directorate dealing with serious corruption and associated offences, in accordance with section 7 of the NPA Act. #SONA2019"
"4570","Ramaphosa: The agreement on the establishment of African Continental Free Trade Area offers great opportunities to place South Africa on a path of investment-led trade, and to work with other African countries to develop their own industrial capacity. #SONA2019"
"4571","Ramaphosa: I will soon be promulgating a Proclamation that will set out the specific terms of reference of the Directorate. #SONA2019"
"4572","Ramaphosa: We will process the operationalisation of section 8 of the Public Administration and Management Act, which strengthens the outlawing of public servants doing business with the state and enable government to deal more effectively with corrupt activities. #SONA2019"
"4573","Ramaphosa: It is a South Africa ready to take advantage of the technological changes sweeping the globe to make our economy grow and create jobs for our people. #SONA2019"
"4574","Ramaphosa: In addition, we have launched the Youth Employment Service, which is placing unemployed youth in paid internships in companies across the economy. #SONA2019"
"4575","Ramaphosa: It will identify priority cases to investigate and prosecute and will recover assets identified to be the proceeds of corruption. #SONA2019"
"4576","Ramaphosa: Let us grasp our collective future with both hands, in the immortal words of the Freedom Charter: side by side, sparing neither strength nor courage.

This task – of building a better SA - is our collective task as a nation, as the people of South Africa. #SONA2019"
